èáà ,ëIéËñº,age,debut_year,tall,weight,pro_year,position,bt,Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS,SS,HP2F
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-03-30,St. Louis Cardinals,Toronto Blue Jays,6,6,2,4,1,0,0,1,0,1,0,0,0,.667,.667,.833,1.500,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-01,St. Louis Cardinals,Toronto Blue Jays,5,4,0,1,0,0,0,0,1,0,0,0,0,.500,.545,.600,1.145,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-02,St. Louis Cardinals,Toronto Blue Jays,4,4,0,1,0,0,0,0,0,0,0,0,0,.429,.467,.500,.967,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-03,Kansas City Royals,Toronto Blue Jays,5,5,1,2,0,0,1,1,0,1,0,0,0,.421,.450,.632,1.082,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-04,Kansas City Royals,Toronto Blue Jays,5,5,1,1,0,0,0,0,0,1,0,0,0,.375,.400,.542,.942,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-05,Kansas City Royals,Toronto Blue Jays,5,5,0,0,0,0,0,0,0,2,0,0,0,.310,.333,.448,.781,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-06,Kansas City Royals,Toronto Blue Jays,5,5,1,2,0,0,0,1,0,1,0,0,0,.324,.343,.441,.784,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-07,Los Angeles Angels,Toronto Blue Jays,4,4,1,2,1,0,1,3,0,0,0,0,0,.342,.359,.553,.912,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-08,Los Angeles Angels,Toronto Blue Jays,5,4,1,3,0,0,1,2,1,0,0,1,0,.381,.409,.643,1.052,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-09,Los Angeles Angels,Toronto Blue Jays,6,5,2,1,0,0,0,0,0,1,0,0,1,.362,.400,.596,.996,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-11,Toronto Blue Jays,Detroit Tigers,4,4,1,1,0,0,1,1,0,0,0,0,0,.353,.389,.627,1.016,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-12,Toronto Blue Jays,Detroit Tigers,4,4,0,0,0,0,0,0,0,0,0,0,0,.327,.362,.582,.944,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-13,Toronto Blue Jays,Detroit Tigers,4,4,0,2,0,0,0,0,0,0,0,0,0,.339,.371,.576,.947,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-14,Toronto Blue Jays,Tampa Bay Rays,5,5,1,5,2,0,0,1,0,0,0,0,0,.391,.418,.641,1.059,26.8,4.55
1,Bo Bichette,25, 7/29/2019,182.88,86.184,2016,SS,R/R,2023-04-15,Toronto Blue Jays,Tampa Bay Rays,4,4,0,0,0,0,0,1,0,0,0,0,0,.368,.394,.603,.997,26.8,4.55
