èáà ,ëIéËñº,age,debut_year,tall,weight,pro_year,position,bt,Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-04,Arizona Diamondbacks,Colorado Rockies,5,5,1,2,0,0,0,0,0,0,0,0,0,.400,.400,.400,.800
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-05,Arizona Diamondbacks,Colorado Rockies,5,4,1,2,0,1,1,3,0,1,0,0,1,.444,.500,1.000,1.500
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-06,Arizona Diamondbacks,Colorado Rockies,5,5,0,2,0,0,0,0,0,1,1,0,0,.429,.467,.786,1.253
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-07,Arizona Diamondbacks,Chicago Cubs,4,4,2,2,0,0,2,2,0,1,0,0,0,.444,.474,1.056,1.530
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-08,Arizona Diamondbacks,Chicago Cubs,4,4,2,3,2,0,0,0,0,0,1,0,0,.500,.522,1.091,1.613
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-09,Arizona Diamondbacks,Chicago Cubs,4,4,0,0,0,0,0,0,0,0,0,0,0,.423,.444,.923,1.367
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-10,Arizona Diamondbacks,Chicago Cubs,1,1,0,0,0,0,0,0,0,0,0,0,0,.407,.429,.889,1.318
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-12,Los Angeles Dodgers,Arizona Diamondbacks,5,4,0,1,0,0,0,0,0,0,0,1,1,.387,.424,.806,1.230
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-13,Los Angeles Dodgers,Arizona Diamondbacks,4,3,0,2,0,0,0,0,1,0,0,0,0,.412,.459,.794,1.253
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-14,Los Angeles Dodgers,Arizona Diamondbacks,4,4,0,1,0,0,0,0,0,0,0,0,0,.395,.439,.737,1.176
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-15,San Diego Padres,Arizona Diamondbacks,4,3,0,0,0,0,0,0,1,0,0,0,0,.366,.422,.683,1.105
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-16,San Diego Padres,Arizona Diamondbacks,7,7,0,1,1,0,0,1,0,2,0,0,0,.333,.385,.625,1.010
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-18,San Francisco Giants,Arizona Diamondbacks,6,6,2,3,0,0,0,1,0,0,1,0,0,.352,.397,.611,1.008
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-19,San Francisco Giants,Arizona Diamondbacks,5,5,1,1,0,0,0,1,0,1,0,0,0,.339,.381,.576,.957
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-20,San Francisco Giants,Arizona Diamondbacks,4,4,0,0,0,0,0,0,0,1,0,0,0,.317,.358,.540,.898
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-21,San Francisco Giants,Arizona Diamondbacks,5,5,1,3,0,1,0,2,0,0,0,0,0,.338,.375,.574,.949
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-22,Arizona Diamondbacks,Pittsburgh Pirates,5,5,0,3,0,0,0,1,0,0,0,0,0,.356,.390,.575,.965
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-23,Arizona Diamondbacks,Pittsburgh Pirates,5,5,0,1,0,0,0,0,0,1,0,0,0,.346,.378,.551,.929
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-24,Arizona Diamondbacks,Pittsburgh Pirates,7,7,0,1,0,0,0,1,0,3,0,0,0,.329,.360,.518,.878
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-25,Arizona Diamondbacks,St. Louis Cardinals,6,6,1,4,1,0,1,3,0,0,0,0,0,.352,.379,.571,.950
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-26,Arizona Diamondbacks,St. Louis Cardinals,4,4,0,1,0,0,0,0,0,0,0,0,0,.347,.374,.558,.932
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-27,Arizona Diamondbacks,St. Louis Cardinals,5,5,0,2,0,0,0,0,0,2,0,0,0,.350,.375,.550,.925
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-28,Arizona Diamondbacks,St. Louis Cardinals,4,4,0,1,1,0,0,0,0,1,1,0,0,.346,.370,.548,.918
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-29,Arizona Diamondbacks,Colorado Rockies,4,3,0,0,0,0,0,0,1,0,0,0,0,.336,.366,.533,.899
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-04-30,Arizona Diamondbacks,Colorado Rockies,4,4,1,1,0,0,0,0,0,1,0,0,0,.333,.362,.523,.885
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-04,Miami Marlins,Arizona Diamondbacks,1,1,0,1,0,0,0,0,0,0,0,0,0,.339,.368,.527,.895
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-05,Miami Marlins,Arizona Diamondbacks,4,4,0,2,0,0,0,0,0,0,0,0,0,.345,.372,.526,.898
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-06,Atlanta Braves,Arizona Diamondbacks,5,4,1,1,0,0,0,0,1,1,0,0,0,.342,.373,.517,.890
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-07,Atlanta Braves,Arizona Diamondbacks,5,5,2,2,0,0,0,0,0,0,0,0,0,.344,.374,.512,.886
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-08,Atlanta Braves,Arizona Diamondbacks,5,5,1,1,1,0,0,0,0,1,0,0,0,.338,.368,.508,.876
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-09,Colorado Rockies,Arizona Diamondbacks,5,5,2,2,1,0,1,1,0,0,0,0,0,.341,.369,.533,.902
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-10,Colorado Rockies,Arizona Diamondbacks,5,5,0,3,0,0,0,1,0,1,0,1,0,.350,.377,.536,.913
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-11,Colorado Rockies,Arizona Diamondbacks,5,5,0,1,1,0,0,0,0,2,0,0,0,.345,.371,.531,.902
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-12,Arizona Diamondbacks,San Francisco Giants,5,5,1,3,0,0,0,0,0,1,1,1,0,.353,.378,.533,.911
1,Jean Segura,26, 7/24/2012,177.8,99.792,0,3B,R/R,2016-05-13,Arizona Diamondbacks,San Francisco Giants,4,4,0,1,0,0,0,1,0,0,0,0,0,.351,.375,.526,.901
