èáà ,ëIéËñº,age,debut_year,tall,weight,pro_year,position,bt,Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS,SS,HP2F
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-03-28,Philadelphia Phillies,Atlanta Braves,4,4,0,1,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-03-30,Philadelphia Phillies,Atlanta Braves,4,3,0,1,0,0,0,0,1,1,0,0,0,.286,.375,.286,.661,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-03-31,Philadelphia Phillies,Atlanta Braves,4,3,0,1,0,0,0,0,1,0,1,1,0,.300,.417,.300,.717,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-01,Atlanta Braves,Chicago Cubs,5,4,2,3,2,0,0,1,1,0,0,0,0,.429,.529,.571,1.100,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-03,Atlanta Braves,Chicago Cubs,5,4,1,3,0,0,1,1,1,0,1,0,0,.500,.591,.778,1.369,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-04,Atlanta Braves,Chicago Cubs,5,5,0,2,0,0,0,0,0,1,0,1,0,.478,.556,.696,1.252,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-05,Atlanta Braves,Miami Marlins,4,3,0,0,0,0,0,0,1,0,0,0,0,.423,.516,.615,1.131,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-06,Atlanta Braves,Miami Marlins,5,5,0,1,0,0,0,0,0,1,0,0,0,.387,.472,.548,1.020,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-07,Atlanta Braves,Miami Marlins,4,4,1,2,0,0,0,0,0,0,0,0,0,.400,.475,.543,1.018,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-08,Colorado Rockies,Atlanta Braves,5,5,0,0,0,0,0,0,0,1,0,0,0,.350,.422,.475,.897,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-09,Colorado Rockies,Atlanta Braves,4,4,1,2,1,0,0,0,0,0,0,0,0,.364,.429,.500,.929,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-11,Atlanta Braves,New York Mets,5,5,0,0,0,0,0,0,0,1,0,0,0,.327,.389,.449,.838,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-12,Atlanta Braves,New York Mets,4,4,0,0,0,0,0,0,0,1,0,0,0,.302,.362,.415,.777,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-13,Atlanta Braves,New York Mets,5,3,2,2,0,0,0,0,2,1,0,0,0,.321,.397,.429,.826,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-14,Atlanta Braves,New York Mets,5,5,2,2,0,1,0,0,0,1,1,0,0,.328,.397,.459,.856,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-16,Atlanta Braves,Arizona Diamondbacks,5,5,2,2,0,0,1,1,0,1,0,0,0,.333,.397,.500,.897,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-17,Atlanta Braves,Arizona Diamondbacks,5,5,0,0,0,0,0,0,0,1,0,0,0,.310,.372,.465,.837,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-18,Atlanta Braves,Arizona Diamondbacks,5,5,0,0,0,0,0,0,0,3,0,0,0,.289,.349,.434,.783,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-20,Cleveland Indians,Atlanta Braves,4,4,1,1,1,0,0,0,0,2,0,0,0,.288,.345,.438,.783,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-20,Cleveland Indians,Atlanta Braves,5,5,1,1,0,0,0,2,0,2,0,0,0,.282,.337,.424,.761,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-21,Cleveland Indians,Atlanta Braves,6,5,2,1,0,0,0,2,0,1,0,0,1,.278,.337,.411,.748,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-23,Cincinnati Reds,Atlanta Braves,5,5,1,1,0,0,0,0,0,1,0,0,0,.274,.330,.400,.730,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-24,Cincinnati Reds,Atlanta Braves,5,3,2,1,0,0,1,1,2,0,0,0,0,.276,.343,.429,.772,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-25,Cincinnati Reds,Atlanta Braves,1,1,0,0,0,0,0,0,0,1,0,0,0,.273,.339,.424,.763,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-26,Atlanta Braves,Colorado Rockies,5,4,1,2,0,0,0,0,1,1,0,0,0,.282,.351,.427,.778,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-27,Atlanta Braves,Colorado Rockies,5,5,1,1,1,0,0,0,0,0,0,0,0,.278,.345,.426,.771,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-28,Atlanta Braves,Colorado Rockies,5,5,3,3,0,0,2,2,0,0,0,0,0,.292,.355,.487,.842,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-29,Atlanta Braves,San Diego Padres,4,4,1,2,0,0,1,2,0,0,0,0,0,.299,.359,.513,.872,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-04-30,Atlanta Braves,San Diego Padres,4,4,0,0,0,0,0,0,0,0,0,0,0,.289,.348,.496,.844,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-01,Atlanta Braves,San Diego Padres,4,4,1,2,1,1,0,1,0,0,0,0,0,.296,.353,.520,.873,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-02,Atlanta Braves,San Diego Padres,5,5,0,1,0,0,0,0,0,0,0,0,0,.292,.348,.508,.856,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-03,Miami Marlins,Atlanta Braves,5,5,1,1,0,0,0,0,0,0,0,0,0,.289,.342,.496,.838,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-04,Miami Marlins,Atlanta Braves,6,6,1,2,0,0,1,5,0,0,0,0,0,.291,.342,.511,.853,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-05,Miami Marlins,Atlanta Braves,5,5,0,0,0,0,0,0,0,2,0,0,0,.281,.331,.493,.824,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-06,Los Angeles Dodgers,Atlanta Braves,4,4,0,1,0,0,0,0,0,0,1,0,0,.280,.329,.487,.816,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-07,Los Angeles Dodgers,Atlanta Braves,4,4,0,1,0,0,0,0,0,0,0,0,0,.279,.327,.481,.808,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-08,Los Angeles Dodgers,Atlanta Braves,5,5,1,2,0,0,0,0,0,0,0,0,0,.283,.329,.478,.807,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-09,Arizona Diamondbacks,Atlanta Braves,5,5,0,1,1,0,0,1,0,3,0,0,0,.280,.326,.476,.802,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-10,Arizona Diamondbacks,Atlanta Braves,4,3,0,0,0,0,0,0,1,2,0,0,0,.275,.324,.467,.791,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-11,Arizona Diamondbacks,Atlanta Braves,4,4,1,1,0,0,0,1,0,1,0,0,0,.275,.322,.462,.784,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-12,Arizona Diamondbacks,Atlanta Braves,4,4,0,0,0,0,0,0,0,1,0,0,0,.269,.316,.451,.767,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-14,Atlanta Braves,St. Louis Cardinals,4,4,0,0,0,0,0,0,0,1,0,0,0,.263,.309,.441,.750,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-15,Atlanta Braves,St. Louis Cardinals,4,4,0,0,0,0,0,0,0,2,0,0,0,.257,.303,.432,.735,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-16,Atlanta Braves,St. Louis Cardinals,4,2,0,0,0,0,0,0,2,0,0,0,0,.254,.307,.427,.734,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-17,Atlanta Braves,Milwaukee Brewers,5,3,2,3,1,0,0,1,1,0,0,0,0,.266,.319,.441,.760,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-18,Atlanta Braves,Milwaukee Brewers,4,3,0,1,0,0,0,0,1,1,0,0,0,.267,.322,.440,.762,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-19,Atlanta Braves,Milwaukee Brewers,3,3,0,1,0,0,0,0,0,0,0,0,0,.268,.322,.438,.760,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-20,San Francisco Giants,Atlanta Braves,5,5,0,0,0,0,0,0,0,2,0,0,0,.261,.315,.427,.742,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-21,San Francisco Giants,Atlanta Braves,2,2,0,0,0,0,0,0,0,1,0,0,0,.259,.312,.423,.735,28.6,4.02
1,Ozzie Albies,26, 8/01/2017,172.72,74.844,0,2B,S/R,2019-05-22,San Francisco Giants,Atlanta Braves,4,3,1,0,0,0,0,0,1,1,0,0,0,.255,.311,.417,.728,28.6,4.02
