Rank,Name,Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
1,Jose Carlos Altuve,Apr 6,HOU,vs CLE,4,1,1,1,0,0,0,0,0,0,1,1,0,0.25,0.25,0.25,0,0,0
1,Jose Carlos Altuve,Apr 8,HOU,vs CLE,4,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0
1,Jose Carlos Altuve,Apr 9,HOU,vs CLE,3,0,0,0,0,0,0,0,1,0,0,1,0,0.091,0.167,0.091,0,0,0
1,Jose Carlos Altuve,Apr 10,HOU,@ TEX,5,0,1,1,0,0,0,0,0,0,1,0,0,0.125,0.176,0.125,0,0,0
1,Jose Carlos Altuve,Apr 11,HOU,@ TEX,4,0,2,2,0,0,0,1,1,0,0,0,0,0.2,0.273,0.2,0,0,0
1,Jose Carlos Altuve,Apr 12,HOU,@ TEX,6,0,1,1,0,0,0,0,0,0,0,0,0,0.192,0.25,0.192,0,0,0
1,Jose Carlos Altuve,Apr 13,HOU,vs OAK,4,1,3,6,0,0,1,1,0,0,0,0,0,0.267,0.313,0.367,0,0,0
1,Jose Carlos Altuve,Apr 14,HOU,vs OAK,5,0,1,1,0,0,0,0,0,0,0,0,0,0.257,0.297,0.343,0,0,0
1,Jose Carlos Altuve,Apr 15,HOU,vs OAK,4,1,2,3,1,0,0,1,0,0,1,1,0,0.282,0.317,0.385,0,0,0
1,Jose Carlos Altuve,Apr 17,HOU,vs LAA,3,0,1,1,0,0,0,1,1,0,0,1,0,0.286,0.333,0.381,0,0,0
1,Jose Carlos Altuve,Apr 18,HOU,vs LAA,3,1,1,1,0,0,0,0,1,1,1,0,0,0.289,0.347,0.378,0,0,0
1,Jose Carlos Altuve,Apr 19,HOU,vs LAA,5,1,3,3,0,0,0,0,0,0,0,0,1,0.32,0.37,0.4,0,0,0
1,Jose Carlos Altuve,Apr 20,HOU,@ SEA,4,0,0,0,0,0,0,0,0,0,1,0,0,0.296,0.345,0.37,0,1,0
1,Jose Carlos Altuve,Apr 21,HOU,@ SEA,5,0,1,2,1,0,0,3,0,0,0,1,0,0.288,0.333,0.373,0,0,0
1,Jose Carlos Altuve,Apr 22,HOU,@ SEA,5,0,2,2,0,0,0,1,0,0,1,0,0,0.297,0.338,0.375,0,0,0
1,Jose Carlos Altuve,Apr 24,HOU,@ OAK,4,0,2,2,0,0,0,0,2,1,0,0,0,0.309,0.365,0.382,0,0,0
1,Jose Carlos Altuve,Apr 25,HOU,@ OAK,5,1,2,5,0,0,1,3,0,0,0,0,1,0.315,0.367,0.425,0,0,0
1,Jose Carlos Altuve,Apr 26,HOU,@ OAK,5,2,2,2,0,0,0,0,0,0,1,2,0,0.321,0.369,0.423,0,0,0
1,Jose Carlos Altuve,Apr 27,HOU,@ SD,5,1,2,3,1,0,0,1,0,0,0,0,0,0.325,0.371,0.434,0,0,0
1,Jose Carlos Altuve,Apr 28,HOU,@ SD,6,2,4,6,2,0,0,1,0,0,0,1,0,0.348,0.389,0.472,0,0,0
1,Jose Carlos Altuve,Apr 29,HOU,@ SD,4,1,2,3,1,0,0,2,0,0,1,0,0,0.355,0.39,0.484,0,0,1
1,Jose Carlos Altuve,Apr 30,HOU,vs SEA,5,1,3,4,1,0,0,1,0,0,0,1,0,0.367,0.4,0.5,0,0,0
1,Jose Carlos Altuve,May 1,HOU,vs SEA,3,1,2,2,0,0,0,0,1,0,0,0,0,0.376,0.413,0.505,0,0,0
1,Jose Carlos Altuve,May 2,HOU,vs SEA,4,1,1,4,0,0,1,3,1,1,1,0,0,0.371,0.412,0.524,0,0,0
1,Jose Carlos Altuve,May 3,HOU,vs SEA,3,0,0,0,0,0,0,0,1,1,1,0,0,0.361,0.407,0.509,0,0,0
1,Jose Carlos Altuve,May 4,HOU,vs TEX,3,1,1,2,1,0,0,0,1,0,0,1,0,0.36,0.41,0.514,0,0,0
1,Jose Carlos Altuve,May 5,HOU,vs TEX,4,0,0,0,0,0,0,0,0,0,2,0,0,0.348,0.397,0.496,0,0,0
1,Jose Carlos Altuve,May 6,HOU,vs TEX,3,0,0,0,0,0,0,0,0,0,0,0,0,0.339,0.388,0.483,0,0,0
1,Jose Carlos Altuve,May 7,HOU,@ LAA,4,0,1,1,0,0,0,1,1,1,0,1,0,0.336,0.388,0.475,0,0,0
1,Jose Carlos Altuve,May 8,HOU,@ LAA,4,0,3,3,0,0,0,0,0,0,0,0,2,0.349,0.399,0.484,0,0,0
1,Jose Carlos Altuve,May 9,HOU,@ LAA,3,1,1,4,0,0,1,1,1,0,1,0,0,0.349,0.401,0.504,0,0,0
1,Jose Carlos Altuve,May 10,HOU,@ LAA,4,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0.39,0.489,0,0,0
1,Jose Carlos Altuve,May 12,HOU,vs SF,4,0,0,0,0,0,0,0,0,0,1,0,0,0.328,0.38,0.474,0,0,0
