Rank,Name,Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
1,Jose Carlos Altuve,Apr 1,HOU,vs NYY,4,1,2,2,0,0,0,2,0,0,0,1,0,0.5,0.5,0.5,0,0,0
1,Jose Carlos Altuve,Apr 2,HOU,vs NYY,3,0,0,0,0,0,0,0,1,1,1,0,0,0.286,0.375,0.286,0,0,0
1,Jose Carlos Altuve,Apr 3,HOU,vs NYY,3,0,1,1,0,0,0,1,1,0,0,1,0,0.3,0.417,0.3,0,0,0
1,Jose Carlos Altuve,Apr 4,HOU,vs LAA,3,0,2,3,1,0,0,1,1,0,0,0,0,0.385,0.5,0.462,0,0,0
1,Jose Carlos Altuve,Apr 5,HOU,vs LAA,3,1,1,1,0,0,0,0,1,0,0,1,0,0.375,0.5,0.438,0,0,0
1,Jose Carlos Altuve,Apr 6,HOU,vs LAA,4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.417,0.35,0,0,0
1,Jose Carlos Altuve,Apr 7,HOU,vs LAA,4,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0.357,0.292,0,0,0
1,Jose Carlos Altuve,Apr 8,HOU,@ TOR,5,0,3,4,1,0,0,1,0,0,1,0,0,0.31,0.394,0.379,0,0,0
1,Jose Carlos Altuve,Apr 9,HOU,@ TOR,4,1,1,3,0,1,0,0,0,0,1,0,0,0.303,0.378,0.424,0,0,0
1,Jose Carlos Altuve,Apr 10,HOU,@ TOR,4,0,1,1,0,0,0,0,0,0,0,0,0,0.297,0.366,0.405,0,0,0
1,Jose Carlos Altuve,Apr 11,HOU,@ TEX,4,0,0,0,0,0,0,0,1,0,0,0,0,0.268,0.348,0.366,0,0,0
1,Jose Carlos Altuve,Apr 12,HOU,@ TEX,4,1,2,2,0,0,0,1,0,0,0,1,0,0.289,0.353,0.378,0,0,1
1,Jose Carlos Altuve,Apr 13,HOU,@ TEX,4,0,1,1,0,0,0,0,0,0,0,0,0,0.286,0.345,0.367,0,0,0
1,Jose Carlos Altuve,Apr 15,HOU,vs KC,3,0,0,0,0,0,0,0,1,0,1,0,0,0.269,0.339,0.346,0,0,0
1,Jose Carlos Altuve,Apr 16,HOU,vs KC,6,0,2,2,0,0,0,0,0,0,1,1,0,0.276,0.338,0.345,0,0,0
1,Jose Carlos Altuve,Apr 17,HOU,vs KC,4,0,1,1,0,0,0,0,0,0,2,0,0,0.274,0.333,0.339,0,0,0
1,Jose Carlos Altuve,Apr 18,HOU,@ OAK,5,1,2,2,0,0,0,0,0,0,0,0,0,0.284,0.338,0.343,0,0,0
1,Jose Carlos Altuve,Apr 19,HOU,@ OAK,4,0,1,1,0,0,0,0,0,0,0,2,0,0.282,0.333,0.338,0,0,0
1,Jose Carlos Altuve,Apr 20,HOU,@ OAK,4,0,1,2,1,0,0,0,1,0,1,1,1,0.28,0.337,0.347,0,0,0
1,Jose Carlos Altuve,Apr 21,HOU,@ SEA,4,1,1,2,1,0,0,0,1,0,0,0,0,0.278,0.341,0.354,0,0,0
1,Jose Carlos Altuve,Apr 22,HOU,@ SEA,4,0,0,0,0,0,0,0,1,0,0,1,0,0.265,0.333,0.337,0,0,0
1,Jose Carlos Altuve,Apr 23,HOU,@ SEA,5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.316,0.318,0,0,0
1,Jose Carlos Altuve,Apr 24,HOU,vs OAK,5,0,3,4,1,0,0,0,0,0,0,0,0,0.269,0.33,0.344,0,0,0
1,Jose Carlos Altuve,Apr 25,HOU,vs OAK,5,1,3,4,1,0,0,1,0,0,0,0,0,0.286,0.343,0.367,0,0,0
1,Jose Carlos Altuve,Apr 26,HOU,vs OAK,4,1,1,1,0,0,0,0,0,0,0,0,0,0.284,0.339,0.363,0,0,0
1,Jose Carlos Altuve,Apr 27,HOU,vs OAK,4,1,2,5,0,0,1,2,0,0,0,0,0,0.292,0.345,0.396,0,0,0
1,Jose Carlos Altuve,Apr 29,HOU,vs WSH,5,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0.331,0.378,0,0,0
1,Jose Carlos Altuve,Apr 30,HOU,vs WSH,5,0,1,1,0,0,0,0,0,0,1,0,0,0.276,0.325,0.371,0,0,0
1,Jose Carlos Altuve,May 2,HOU,vs SEA,5,2,3,4,1,0,0,0,1,0,0,1,0,0.289,0.341,0.388,0,0,0
1,Jose Carlos Altuve,May 3,HOU,vs SEA,3,1,1,1,0,0,0,1,1,0,0,1,0,0.29,0.343,0.387,0,0,1
1,Jose Carlos Altuve,May 4,HOU,vs SEA,4,1,1,2,1,0,0,0,1,0,1,0,0,0.289,0.345,0.391,0,0,0
1,Jose Carlos Altuve,May 5,HOU,@ DET,4,0,0,0,0,0,0,0,0,0,1,0,0,0.28,0.336,0.379,0,0,0
1,Jose Carlos Altuve,May 6,HOU,@ DET,4,0,1,2,1,0,0,0,0,0,0,0,0,0.279,0.333,0.382,0,0,0
1,Jose Carlos Altuve,May 7,HOU,@ DET,4,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.325,0.371,0,0,0
1,Jose Carlos Altuve,May 8,HOU,@ DET,4,0,1,2,1,0,0,2,0,0,0,0,0,0.271,0.323,0.375,0,0,0
1,Jose Carlos Altuve,May 9,HOU,@ BAL,4,0,1,1,0,0,0,0,0,0,1,0,1,0.27,0.321,0.372,0,0,0
1,Jose Carlos Altuve,May 10,HOU,@ BAL,4,0,2,2,0,0,0,2,1,0,0,2,0,0.276,0.329,0.375,0,0,0
1,Jose Carlos Altuve,May 11,HOU,@ BAL,4,1,3,4,1,0,0,0,1,0,0,0,0,0.288,0.343,0.391,0,0,0
1,Jose Carlos Altuve,May 12,HOU,vs TEX,5,0,3,4,1,0,0,0,0,0,0,0,1,0.298,0.35,0.404,0,0,0
1,Jose Carlos Altuve,May 13,HOU,vs TEX,5,2,2,5,1,1,0,0,0,0,0,0,0,0.301,0.352,0.422,0,0,0
1,Jose Carlos Altuve,May 14,HOU,vs TEX,5,1,1,1,0,0,0,0,0,0,1,0,0,0.298,0.348,0.415,0,0,0
1,Jose Carlos Altuve,May 16,HOU,vs CWS,5,1,2,2,0,0,0,0,0,0,0,0,0,0.301,0.349,0.415,0,0,0
1,Jose Carlos Altuve,May 17,HOU,vs CWS,5,1,2,2,0,0,0,0,0,0,0,1,0,0.304,0.35,0.414,0,0,0
1,Jose Carlos Altuve,May 18,HOU,vs CWS,5,0,1,1,0,0,0,0,0,0,1,1,0,0.301,0.347,0.409,0,0,0
1,Jose Carlos Altuve,May 19,HOU,@ LAA,4,2,2,3,1,0,0,0,0,0,0,0,0,0.305,0.35,0.416,0,0,0
1,Jose Carlos Altuve,May 20,HOU,@ LAA,5,1,3,4,1,0,0,0,0,0,2,0,0,0.313,0.355,0.426,0,0,0
1,Jose Carlos Altuve,May 21,HOU,@ LAA,4,0,0,0,0,0,0,0,0,0,1,0,0,0.307,0.349,0.417,0,0,0
1,Jose Carlos Altuve,May 22,HOU,@ SEA,4,1,2,5,0,0,1,1,0,0,0,1,0,0.31,0.352,0.433,0,0,0
1,Jose Carlos Altuve,May 23,HOU,@ SEA,4,0,3,4,1,0,0,1,0,0,0,1,0,0.319,0.359,0.444,0,0,0
1,Jose Carlos Altuve,May 24,HOU,@ SEA,4,2,2,2,0,0,0,1,1,0,0,0,0,0.322,0.364,0.445,0,0,0
1,Jose Carlos Altuve,May 25,HOU,@ SEA,4,1,2,2,0,0,0,0,0,0,0,0,0,0.326,0.366,0.447,0,0,0
1,Jose Carlos Altuve,May 26,HOU,@ KC,5,2,1,1,0,0,0,0,1,0,0,0,0,0.323,0.366,0.441,0,0,0
1,Jose Carlos Altuve,May 27,HOU,@ KC,5,0,1,1,0,0,0,0,0,0,1,0,0,0.32,0.362,0.436,0,0,0
1,Jose Carlos Altuve,May 28,HOU,@ KC,5,1,1,1,0,0,0,0,1,0,0,0,0,0.317,0.361,0.43,0,0,0
1,Jose Carlos Altuve,May 29,HOU,vs BAL,4,1,3,4,1,0,0,0,0,0,0,2,0,0.325,0.368,0.44,0,0,0
1,Jose Carlos Altuve,May 30,HOU,vs BAL,4,0,1,1,0,0,0,0,0,0,0,1,0,0.324,0.366,0.437,0,0,0
1,Jose Carlos Altuve,May 31,HOU,vs BAL,4,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.36,0.43,0,0,0
